Gross Domestic Product by Kind of Activity
CActivity,ISIC4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1
GROSS DOMESTIC PRODUCT (GDP),,12.9,6.7,3.9,6.6,8.6,12.8,11.3,9.2,9.2,3.5,4.1,4.7,4.6,7.1,6.8,7.5,7.0,3.6,8.2,6.3,9.0,10.9,6.9,7.6,3.2,6.3,1.1,2.9,7.5,5.9,10.2,6.7,8.1,9.2,8.0,9.8,10.4,8.5,3.2,1.8,0.2,1.7,6.6,7.2,9.7,7.8,7.1,9.6,6.1,12.3,10.9,8.4,3.7,-12.5,-3.7,-0.6,3.5,20.6,10.1,10.3,7.9,7.5,10.0,7.3,9.2,6.3,7.5,10.0,9.7,9.8,8.1,8.0,7.8
AGRICULTURE, FORESTRY & FISHING,A,1.4,0.7,-0.4,-1.0,2.6,3.5,1.6,1.3,1.7,1.2,1.7,1.8,1.3,1.3,2.0,1.6,1.3,0.8,1.3,0.6,2.0,2.3,0.9,2.8,1.8,2.1,0.2,-0.3,1.3,1.2,2.6,2.3,1.2,1.5,1.4,1.2,2.5,1.3,0.0,0.2,0.1,0.9,1.7,2.3,2.4,1.9,1.2,1.0,1.1,1.3,1.7,1.1,-0.1,-0.4,0.5,0.8,1.7,2.0,1.6,1.3,0.2,0.5,0.3,0.5,0.2,0.0,0.7,0.7,1.6,1.6,1.0,0.5,0.4
Food crops,AA,1.9,1.8,-0.1,-0.1,1.8,1.8,0.7,0.6,1.8,1.7,1.7,1.7,0.7,0.7,1.1,1.1,1.4,1.4,0.0,0.0,2.0,2.0,1.0,1.0,1.3,1.3,0.1,0.1,0.9,0.9,2.2,2.1,0.7,0.7,0.6,0.6,1.3,1.2,-0.2,-0.2,0.2,0.2,1.5,1.5,1.4,1.4,0.6,0.6,0.6,0.6,0.7,0.7,-0.3,-0.3,0.4,0.4,1.1,1.3,1.0,1.0,-0.2,-0.2,-0.1,-0.1,-0.5,-0.5,0.5,0.5,1.2,1.1,0.3,0.3,-0.1
Export crops,AB,-0.8,-1.4,-0.6,-1.2,0.4,1.3,0.6,0.4,-0.4,-0.7,-0.3,-0.3,0.3,0.2,0.6,0.2,-0.5,-0.7,1.1,0.3,-0.3,-0.1,-0.5,1.5,0.2,0.4,-0.3,-0.7,0.0,-0.1,0.1,-0.2,0.1,0.4,0.4,0.2,0.8,-0.4,-0.2,0.0,-0.4,0.3,-0.2,0.4,0.5,0.0,0.1,-0.1,-0.1,0.1,0.4,-0.1,-0.2,-0.2,-0.2,0.0,0.1,0.0,0.0,-0.1,-0.2,0.2,0.0,0.2,0.2,0.0,-0.2,-0.2,0.0,-0.1,0.2,-0.2,0.0
Livestock & livestock products,AC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Forestry,AD,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3
Fishing,AE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.1,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
