Rwanda's External Trade  with EAC (values in US$ million)
Trade_Type,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2
Exports,74.18,57.15,70.97,59.82,56.24,55.92,72.61,86.15,69.32,85.91
Imports,387.65,350.99,414.99,381.36,344.87,471.62,567.09,612.46,358.28,344.30
Re-Exports,150.10,147.03,162.90,154.65,165.72,159.45,177.98,169.64,129.10,136.03
Total_Trade,611.93,555.16,648.86,595.83,566.83,686.99,817.68,868.25,556.70,566.23
Trade_Balance,-163.36,-146.81,-181.12,-166.88,-122.91,-256.25,-316.50,-356.67,-159.85,-122.36
Source,NISR,,,,,,,,,,
